Date,cmp_score,energy_score,temperature_score,vector_ad_cmp,vector_ad_energy,vector_ad_energy_absolute,vector_ad_energy_relative,vector_ad_temperature
2019-01-01,0,0,1,54.697714760307484,495.9,6.126666666666665,1.25091879236654,-1.4793720004090325
2019-01-02,3,0,1,147.06025975769288,587.5,97.72666666666669,19.953447853428806,-1.5966309015862525
2019-01-03,3,0,1,117.42299604421284,565.6,75.82666666666671,15.48199166961588,-1.6078652873277828
2019-01-06,0,0,1,43.430864601102336,493.1,3.3266666666667106,0.6792257642991295,-1.2715358641907264
2019-01-13,0,0,1,56.72671328395441,488.4,-1.3733333333333348,-0.2804018185282975,-1.1128501655916143
2019-01-20,0,0,1,50.27922035992205,454.3,-35.4733333333333,-7.242806196063478,-1.456201079817127
2019-01-27,0,0,1,40.187560264311536,489.4,-0.37333333333333485,-0.0762257370756525,-1.3143669598303098
2019-02-03,0,0,1,51.94766597258334,474.0,-15.773333333333312,-3.2205373914463764,-1.5123730085247773
2019-02-10,0,0,1,36.19944750962062,478.9,-10.873333333333335,-2.220074592328425,-1.0587846842105009
2019-02-17,0,0,1,48.33218389436276,498.7,8.926666666666677,1.8226118204339503,-0.6824327618692438
2019-02-24,0,0,1,42.00571389702418,438.5,-51.27333333333331,-10.468788283015273,-0.723859559291136
2019-03-03,0,0,1,34.79310276474096,466.6,-23.17333333333329,-4.731440394195941,-0.49495894980746086
2019-03-10,0,0,1,32.709631609061404,483.8,-5.973333333333301,-1.2196117932104622,-0.46617083634479006
2019-03-17,0,0,1,36.008887791744826,475.6,-14.17333333333329,-2.8938556611221466,-0.5314707034674335
2019-03-24,0,0,1,59.56911951674976,519.8,30.026666666666642,6.130727139084735,-0.019604003118970047
2019-03-31,0,0,1,63.518186372100544,514.2,24.426666666666733,4.987341082949959,-0.4184246969432873
2019-04-07,1,0,1,93.85265046872155,536.8,47.02666666666664,9.6017205237797,-0.8214582854206783
2019-04-14,0,0,1,39.0732645167932,424.0,-65.77333333333331,-13.429341464078615,-0.8411184604683559
2019-04-20,0,0,1,59.472346515027624,399.3,-90.4733333333333,-18.47249067595894,-0.18671549102422966
2019-04-21,0,0,1,41.98475913948371,422.9,-66.87333333333333,-13.653935153676533,-0.31240018150759724
2019-04-22,3,0,1,108.12437283057666,575.7,85.92666666666673,17.544170092287615,-0.3798064959567777
2019-04-25,0,0,1,50.001599974386004,471.6,-18.17333333333329,-3.7105599869327266,-0.7357960941415116
2019-04-27,0,0,1,35.4649122373929,451.7,-38.07333333333332,-7.773664007840364,-0.23375948131688687
2019-04-28,0,0,1,37.886145224873424,443.5,-46.27333333333331,-9.447907875752048,-0.5925576759370033
2019-05-01,0,0,1,36.02887730696592,451.5,-38.27333333333331,-7.814499224130889,0.010588408561392041
2019-05-04,0,0,1,37.32452276984056,432.6,-57.17333333333329,-11.67342716358587,-0.36997640843293905
2019-05-05,0,0,1,53.48046372281747,408.7,-81.07333333333332,-16.553235510304088,-0.8207561363118328
2019-05-12,0,0,1,41.030720198375995,441.8,-47.9733333333333,-9.79500721422154,-0.23165303399035
2019-05-18,0,0,1,39.48062816116121,448.5,-41.27333333333331,-8.427027468488824,-0.5469179838620374
2019-05-19,0,0,1,52.872677253912,407.4,-82.37333333333333,-16.81866441619253,-0.5167255721816754
2019-05-26,0,0,1,41.08138264473554,420.6,-69.17333333333329,-14.12354014101761,0.1510182303305177
2019-06-02,0,0,1,40.09788024322839,440.9,-48.873333333333335,-9.978765687528924,1.2983298741842757
2019-06-09,0,0,1,40.34055031851662,420.0,-69.77333333333331,-14.246045789889195,1.0996216763809623
2019-06-16,3,3,1,228.75349177663082,708.6,218.8266666666667,44.67917131734409,1.408567284273039
2019-06-23,2,0,1,106.71832082637081,571.3,81.52666666666664,16.64579533389594,1.474569300504528
2019-06-30,0,0,2,35.6964984276995,455.5,-34.27333333333331,-6.997794898320309,1.8909437220499863
2019-07-07,3,2,2,193.79122787161566,617.1,127.32666666666671,25.997059864427086,1.9120081953153552
2019-07-14,3,2,1,177.1146521324626,637.3,147.52666666666664,30.12141670977051,1.111558211231338
2019-07-21,0,0,2,51.49291213361117,500.6,10.82666666666671,2.210546375193978,1.725236532362418
2019-07-28,0,0,1,36.1928169669224,437.8,-51.9733333333333,-10.61171154003212,1.4443768888241666
2019-08-04,0,0,1,35.302124581878175,436.5,-53.27333333333331,-10.877140445920563,1.5433799131713999
2019-08-11,0,0,1,40.45738498726433,443.3,-46.4733333333333,-9.488743092042572,1.5293369309944875
2019-08-12,3,2,1,228.57436426686226,665.8,176.02666666666664,35.94043503117088,1.2323278579527859
2019-08-13,3,2,1,171.49040789501444,625.8,136.02666666666664,27.773391773065082,1.2997341724019669
2019-08-14,3,0,1,132.39758305951403,580.8,91.02666666666664,18.58546810769608,1.082067948659822
2019-08-15,0,0,1,59.902587590227085,396.6,-93.17333333333329,-19.02376609588108,1.1389420264763177
2019-08-16,0,0,1,80.59081833555335,484.6,-5.173333333333289,-1.0562709280483418,1.1213882987551773
2019-08-17,0,0,1,61.4374478634992,392.3,-97.4733333333333,-19.901723246127457,1.255498778544692
2019-08-18,0,0,1,66.83352452177913,392.9,-96.87333333333333,-19.779217597255872,1.3453738644769326
2019-08-25,0,0,1,36.71076136495736,451.7,-38.07333333333332,-7.773664007840364,1.5770830703959902
2019-09-01,0,0,1,37.50839905941728,430.6,-59.17333333333329,-12.08177932649116,1.5763809212871445
2019-09-08,0,0,1,32.64843028388462,442.9,-46.873333333333335,-9.570413524623634,0.3771102433788102
2019-09-15,0,0,1,35.591010100865496,454.8,-34.9733333333333,-7.140718155337156,1.2512858838916183
2019-09-22,0,0,1,40.07792409797237,472.1,-17.67333333333329,-3.608471946206404,0.35815221743997827
2019-09-29,0,0,1,49.44006472495608,497.2,7.4266666666666765,1.5163476982549717,0.854571637393838
2019-10-06,0,0,1,36.54476706724484,432.8,-56.9733333333333,-11.632591947295346,0.4115155497122462
2019-10-13,0,0,1,52.97395586511307,411.3,-78.4733333333333,-16.0223776985272,0.5056035302975602
2019-10-20,0,0,1,53.363658045530734,500.3,10.5266666666667,2.149293550758191,0.2795115172492677
2019-10-27,0,0,1,47.56973827962834,498.2,8.426666666666677,1.7205237797076167,0.46628318020220516
2019-11-01,2,0,1,99.06361592434544,563.1,73.32666666666671,14.971551465984279,-0.12071347479274071
2019-11-03,0,0,1,68.88250866515682,521.9,32.126666666666665,6.5594969101353096,-0.3769978995213953
2019-11-10,4,4,1,545.4290054626717,1035.0,545.2266666666667,111.32224430348731,-0.49425680069861533
2019-11-17,0,0,1,39.58383508453097,476.4,-13.373333333333335,-2.7305147959600373,-0.699284340481539
2019-11-24,0,0,1,47.50578912085495,498.2,8.426666666666677,1.7205237797076167,-0.30678298863683245
2019-12-01,0,0,1,58.19828176155469,512.2,22.426666666666733,4.578988920044669,-0.8551614426452685
2019-12-08,0,0,1,34.24850361700568,450.4,-39.373333333333335,-8.039092913728796,-0.6550489466242643
2019-12-15,0,0,1,44.074482413255055,488.4,-1.3733333333333348,-0.2804018185282975,-0.7765207424545582
2019-12-22,0,0,1,39.001538431149,453.2,-36.57333333333332,-7.467399885661397,-0.40999890763713975
2019-12-25,0,0,1,41.2194129022772,464.7,-25.073333333333323,-5.119374948955979,-0.5082997828755278
2019-12-26,0,0,1,38.25807104383985,437.6,-52.17333333333329,-10.652546756322645,-0.7589670147334173
2019-12-27,0,0,1,79.63516811055601,522.5,32.72666666666669,6.682002559006883,-0.7919680228491619
2019-12-28,0,0,1,56.22952960857435,408.7,-81.07333333333332,-16.553235510304088,-0.8621829337337248
2019-12-29,0,0,1,57.118823517286856,407.2,-82.57333333333332,-16.859499632483054,-0.9604838089721128
2019-12-30,0,0,1,82.09555408177552,527.6,37.82666666666671,7.723300574415393,-0.9976977117409312
2019-12-31,0,0,1,60.37615423324332,505.4,15.626666666666665,3.190591566166656,-0.8214582854206783
